date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,is_weekend
20200426,2020-04-26,2020,2,4,April,17,26,1,true
20200427,2020-04-27,2020,2,4,April,18,27,2,false
20200428,2020-04-28,2020,2,4,April,18,28,3,false
20200429,2020-04-29,2020,2,4,April,18,29,4,false
20200430,2020-04-30,2020,2,4,April,18,30,5,false
20200501,2020-05-01,2020,2,5,May,18,1,6,false
20200502,2020-05-02,2020,2,5,May,18,2,7,true
20200503,2020-05-03,2020,2,5,May,18,3,1,true
20200504,2020-05-04,2020,2,5,May,19,4,2,false
20200505,2020-05-05,2020,2,5,May,19,5,3,false
20200506,2020-05-06,2020,2,5,May,19,6,4,false
20200507,2020-05-07,2020,2,5,May,19,7,5,false
20200508,2020-05-08,2020,2,5,May,19,8,6,false
20200509,2020-05-09,2020,2,5,May,19,9,7,true
20200510,2020-05-10,2020,2,5,May,19,10,1,true
20200511,2020-05-11,2020,2,5,May,20,11,2,false
20200512,2020-05-12,2020,2,5,May,20,12,3,false
20200513,2020-05-13,2020,2,5,May,20,13,4,false
20200514,2020-05-14,2020,2,5,May,20,14,5,false
20200515,2020-05-15,2020,2,5,May,20,15,6,false
20200516,2020-05-16,2020,2,5,May,20,16,7,true
20200517,2020-05-17,2020,2,5,May,20,17,1,true
20200518,2020-05-18,2020,2,5,May,21,18,2,false
20200519,2020-05-19,2020,2,5,May,21,19,3,false
20200520,2020-05-20,2020,2,5,May,21,20,4,false
20200521,2020-05-21,2020,2,5,May,21,21,5,false
20200522,2020-05-22,2020,2,5,May,21,22,6,false
20200523,2020-05-23,2020,2,5,May,21,23,7,true
20200524,2020-05-24,2020,2,5,May,21,24,1,true
20200525,2020-05-25,2020,2,5,May,22,25,2,false
20200526,2020-05-26,2020,2,5,May,22,26,3,false
20200527,2020-05-27,2020,2,5,May,22,27,4,false
20200528,2020-05-28,2020,2,5,May,22,28,5,false
20200529,2020-05-29,2020,2,5,May,22,29,6,false
20200530,2020-05-30,2020,2,5,May,22,30,7,true
20200531,2020-05-31,2020,2,5,May,22,31,1,true
20200601,2020-06-01,2020,2,6,June,23,1,2,false
20200602,2020-06-02,2020,2,6,June,23,2,3,false
20200603,2020-06-03,2020,2,6,June,23,3,4,false
20200604,2020-06-04,2020,2,6,June,23,4,5,false
20200605,2020-06-05,2020,2,6,June,23,5,6,false
20200606,2020-06-06,2020,2,6,June,23,6,7,true
20200607,2020-06-07,2020,2,6,June,23,7,1,true
20200608,2020-06-08,2020,2,6,June,24,8,2,false
20200609,2020-06-09,2020,2,6,June,24,9,3,false
20200610,2020-06-10,2020,2,6,June,24,10,4,false
20200611,2020-06-11,2020,2,6,June,24,11,5,false
20200612,2020-06-12,2020,2,6,June,24,12,6,false
20200613,2020-06-13,2020,2,6,June,24,13,7,true
20200614,2020-06-14,2020,2,6,June,24,14,1,true
20200615,2020-06-15,2020,2,6,June,25,15,2,false
20200616,2020-06-16,2020,2,6,June,25,16,3,false
20200617,2020-06-17,2020,2,6,June,25,17,4,false
20200618,2020-06-18,2020,2,6,June,25,18,5,false
20200619,2020-06-19,2020,2,6,June,25,19,6,false
20200620,2020-06-20,2020,2,6,June,25,20,7,true
20200621,2020-06-21,2020,2,6,June,25,21,1,true
20200622,2020-06-22,2020,2,6,June,26,22,2,false
20200623,2020-06-23,2020,2,6,June,26,23,3,false
20200624,2020-06-24,2020,2,6,June,26,24,4,false
20200625,2020-06-25,2020,2,6,June,26,25,5,false
20200626,2020-06-26,2020,2,6,June,26,26,6,false
20200627,2020-06-27,2020,2,6,June,26,27,7,true
20200628,2020-06-28,2020,2,6,June,26,28,1,true
20200629,2020-06-29,2020,2,6,June,27,29,2,false
20200630,2020-06-30,2020,2,6,June,27,30,3,false
20200701,2020-07-01,2020,3,7,July,27,1,4,false
20200702,2020-07-02,2020,3,7,July,27,2,5,false
20200703,2020-07-03,2020,3,7,July,27,3,6,false
20200704,2020-07-04,2020,3,7,July,27,4,7,true
20200705,2020-07-05,2020,3,7,July,27,5,1,true
20200706,2020-07-06,2020,3,7,July,28,6,2,false
20200707,2020-07-07,2020,3,7,July,28,7,3,false
20200708,2020-07-08,2020,3,7,July,28,8,4,false
20200709,2020-07-09,2020,3,7,July,28,9,5,false
20200710,2020-07-10,2020,3,7,July,28,10,6,false
20200711,2020-07-11,2020,3,7,July,28,11,7,true
20200712,2020-07-12,2020,3,7,July,28,12,1,true
20200713,2020-07-13,2020,3,7,July,29,13,2,false
20200714,2020-07-14,2020,3,7,July,29,14,3,false
20200715,2020-07-15,2020,3,7,July,29,15,4,false
20200716,2020-07-16,2020,3,7,July,29,16,5,false
20200717,2020-07-17,2020,3,7,July,29,17,6,false
20200718,2020-07-18,2020,3,7,July,29,18,7,true
20200719,2020-07-19,2020,3,7,July,29,19,1,true
20200720,2020-07-20,2020,3,7,July,30,20,2,false
20200721,2020-07-21,2020,3,7,July,30,21,3,false
20200722,2020-07-22,2020,3,7,July,30,22,4,false
20200723,2020-07-23,2020,3,7,July,30,23,5,false
20200724,2020-07-24,2020,3,7,July,30,24,6,false
20200725,2020-07-25,2020,3,7,July,30,25,7,true
20200726,2020-07-26,2020,3,7,July,30,26,1,true
20200727,2020-07-27,2020,3,7,July,31,27,2,false
20200728,2020-07-28,2020,3,7,July,31,28,3,false
20200729,2020-07-29,2020,3,7,July,31,29,4,false
20200730,2020-07-30,2020,3,7,July,31,30,5,false
20200731,2020-07-31,2020,3,7,July,31,31,6,false
20200801,2020-08-01,2020,3,8,August,31,1,7,true
20200802,2020-08-02,2020,3,8,August,31,2,1,true
20200803,2020-08-03,2020,3,8,August,32,3,2,false
20200804,2020-08-04,2020,3,8,August,32,4,3,false
20200805,2020-08-05,2020,3,8,August,32,5,4,false
20200806,2020-08-06,2020,3,8,August,32,6,5,false
20200807,2020-08-07,2020,3,8,August,32,7,6,false
20200808,2020-08-08,2020,3,8,August,32,8,7,true
20200809,2020-08-09,2020,3,8,August,32,9,1,true
20200810,2020-08-10,2020,3,8,August,33,10,2,false
20200811,2020-08-11,2020,3,8,August,33,11,3,false
20200812,2020-08-12,2020,3,8,August,33,12,4,false
20200813,2020-08-13,2020,3,8,August,33,13,5,false
20200814,2020-08-14,2020,3,8,August,33,14,6,false
20200815,2020-08-15,2020,3,8,August,33,15,7,true
20200816,2020-08-16,2020,3,8,August,33,16,1,true
20200817,2020-08-17,2020,3,8,August,34,17,2,false
20200818,2020-08-18,2020,3,8,August,34,18,3,false
20200819,2020-08-19,2020,3,8,August,34,19,4,false
20200820,2020-08-20,2020,3,8,August,34,20,5,false
20200821,2020-08-21,2020,3,8,August,34,21,6,false
20200822,2020-08-22,2020,3,8,August,34,22,7,true
20200823,2020-08-23,2020,3,8,August,34,23,1,true
20200824,2020-08-24,2020,3,8,August,35,24,2,false
20200825,2020-08-25,2020,3,8,August,35,25,3,false
20200826,2020-08-26,2020,3,8,August,35,26,4,false
20200827,2020-08-27,2020,3,8,August,35,27,5,false
20200828,2020-08-28,2020,3,8,August,35,28,6,false
20200829,2020-08-29,2020,3,8,August,35,29,7,true
20200830,2020-08-30,2020,3,8,August,35,30,1,true
20200831,2020-08-31,2020,3,8,August,36,31,2,false
20200901,2020-09-01,2020,3,9,September,36,1,3,false
20200902,2020-09-02,2020,3,9,September,36,2,4,false
20200903,2020-09-03,2020,3,9,September,36,3,5,false
20200904,2020-09-04,2020,3,9,September,36,4,6,false
20200905,2020-09-05,2020,3,9,September,36,5,7,true
20200906,2020-09-06,2020,3,9,September,36,6,1,true
20200907,2020-09-07,2020,3,9,September,37,7,2,false
20200908,2020-09-08,2020,3,9,September,37,8,3,false
20200909,2020-09-09,2020,3,9,September,37,9,4,false
20200910,2020-09-10,2020,3,9,September,37,10,5,false
20200911,2020-09-11,2020,3,9,September,37,11,6,false
20200912,2020-09-12,2020,3,9,September,37,12,7,true
20200913,2020-09-13,2020,3,9,September,37,13,1,true
20200914,2020-09-14,2020,3,9,September,38,14,2,false
20200915,2020-09-15,2020,3,9,September,38,15,3,false
20200916,2020-09-16,2020,3,9,September,38,16,4,false
20200917,2020-09-17,2020,3,9,September,38,17,5,false
20200918,2020-09-18,2020,3,9,September,38,18,6,false
20200919,2020-09-19,2020,3,9,September,38,19,7,true
20200920,2020-09-20,2020,3,9,September,38,20,1,true
20200921,2020-09-21,2020,3,9,September,39,21,2,false
20200922,2020-09-22,2020,3,9,September,39,22,3,false
20200923,2020-09-23,2020,3,9,September,39,23,4,false
20200924,2020-09-24,2020,3,9,September,39,24,5,false
20200925,2020-09-25,2020,3,9,September,39,25,6,false
20200926,2020-09-26,2020,3,9,September,39,26,7,true
20200927,2020-09-27,2020,3,9,September,39,27,1,true
20200928,2020-09-28,2020,3,9,September,40,28,2,false
20200929,2020-09-29,2020,3,9,September,40,29,3,false
20200930,2020-09-30,2020,3,9,September,40,30,4,false
20201001,2020-10-01,2020,4,10,October,40,1,5,false
20201002,2020-10-02,2020,4,10,October,40,2,6,false
20201003,2020-10-03,2020,4,10,October,40,3,7,true
20201004,2020-10-04,2020,4,10,October,40,4,1,true
20201005,2020-10-05,2020,4,10,October,41,5,2,false
20201006,2020-10-06,2020,4,10,October,41,6,3,false
20201007,2020-10-07,2020,4,10,October,41,7,4,false
20201008,2020-10-08,2020,4,10,October,41,8,5,false
20201009,2020-10-09,2020,4,10,October,41,9,6,false
20201010,2020-10-10,2020,4,10,October,41,10,7,true
20201011,2020-10-11,2020,4,10,October,41,11,1,true
20201012,2020-10-12,2020,4,10,October,42,12,2,false
20201013,2020-10-13,2020,4,10,October,42,13,3,false
20201014,2020-10-14,2020,4,10,October,42,14,4,false
20201015,2020-10-15,2020,4,10,October,42,15,5,false
20201016,2020-10-16,2020,4,10,October,42,16,6,false
20201017,2020-10-17,2020,4,10,October,42,17,7,true
20201018,2020-10-18,2020,4,10,October,42,18,1,true
20201019,2020-10-19,2020,4,10,October,43,19,2,false
20201020,2020-10-20,2020,4,10,October,43,20,3,false
20201021,2020-10-21,2020,4,10,October,43,21,4,false
20201022,2020-10-22,2020,4,10,October,43,22,5,false
20201023,2020-10-23,2020,4,10,October,43,23,6,false
20201024,2020-10-24,2020,4,10,October,43,24,7,true
20201025,2020-10-25,2020,4,10,October,43,25,1,true
20201026,2020-10-26,2020,4,10,October,44,26,2,false
20201027,2020-10-27,2020,4,10,October,44,27,3,false
20201028,2020-10-28,2020,4,10,October,44,28,4,false
20201029,2020-10-29,2020,4,10,October,44,29,5,false
20201030,2020-10-30,2020,4,10,October,44,30,6,false
20201031,2020-10-31,2020,4,10,October,44,31,7,true
20201101,2020-11-01,2020,4,11,November,44,1,1,true
20201102,2020-11-02,2020,4,11,November,45,2,2,false
20201103,2020-11-03,2020,4,11,November,45,3,3,false
20201104,2020-11-04,2020,4,11,November,45,4,4,false
20201105,2020-11-05,2020,4,11,November,45,5,5,false
20201106,2020-11-06,2020,4,11,November,45,6,6,false
20201107,2020-11-07,2020,4,11,November,45,7,7,true
20201108,2020-11-08,2020,4,11,November,45,8,1,true
20201109,2020-11-09,2020,4,11,November,46,9,2,false
20201110,2020-11-10,2020,4,11,November,46,10,3,false
20201111,2020-11-11,2020,4,11,November,46,11,4,false
20201112,2020-11-12,2020,4,11,November,46,12,5,false
20201113,2020-11-13,2020,4,11,November,46,13,6,false
20201114,2020-11-14,2020,4,11,November,46,14,7,true
20201115,2020-11-15,2020,4,11,November,46,15,1,true
20201116,2020-11-16,2020,4,11,November,47,16,2,false
20201117,2020-11-17,2020,4,11,November,47,17,3,false
20201118,2020-11-18,2020,4,11,November,47,18,4,false
20201119,2020-11-19,2020,4,11,November,47,19,5,false
20201120,2020-11-20,2020,4,11,November,47,20,6,false
20201121,2020-11-21,2020,4,11,November,47,21,7,true
20201122,2020-11-22,2020,4,11,November,47,22,1,true
20201123,2020-11-23,2020,4,11,November,48,23,2,false
20201124,2020-11-24,2020,4,11,November,48,24,3,false
20201125,2020-11-25,2020,4,11,November,48,25,4,false
20201126,2020-11-26,2020,4,11,November,48,26,5,false
20201127,2020-11-27,2020,4,11,November,48,27,6,false
20201128,2020-11-28,2020,4,11,November,48,28,7,true
20201129,2020-11-29,2020,4,11,November,48,29,1,true
20201130,2020-11-30,2020,4,11,November,49,30,2,false
20201201,2020-12-01,2020,4,12,December,49,1,3,false
20201202,2020-12-02,2020,4,12,December,49,2,4,false
20201203,2020-12-03,2020,4,12,December,49,3,5,false
20201204,2020-12-04,2020,4,12,December,49,4,6,false
20201205,2020-12-05,2020,4,12,December,49,5,7,true
20201206,2020-12-06,2020,4,12,December,49,6,1,true
20201207,2020-12-07,2020,4,12,December,50,7,2,false
20201208,2020-12-08,2020,4,12,December,50,8,3,false
20201209,2020-12-09,2020,4,12,December,50,9,4,false
20201210,2020-12-10,2020,4,12,December,50,10,5,false
20201211,2020-12-11,2020,4,12,December,50,11,6,false
20201212,2020-12-12,2020,4,12,December,50,12,7,true
20201213,2020-12-13,2020,4,12,December,50,13,1,true
20201214,2020-12-14,2020,4,12,December,51,14,2,false
20201215,2020-12-15,2020,4,12,December,51,15,3,false
20201216,2020-12-16,2020,4,12,December,51,16,4,false
20201217,2020-12-17,2020,4,12,December,51,17,5,false
20201218,2020-12-18,2020,4,12,December,51,18,6,false
20201219,2020-12-19,2020,4,12,December,51,19,7,true
20201220,2020-12-20,2020,4,12,December,51,20,1,true
20201221,2020-12-21,2020,4,12,December,52,21,2,false
20201222,2020-12-22,2020,4,12,December,52,22,3,false
20201223,2020-12-23,2020,4,12,December,52,23,4,false
20201224,2020-12-24,2020,4,12,December,52,24,5,false
20201225,2020-12-25,2020,4,12,December,52,25,6,false
20201226,2020-12-26,2020,4,12,December,52,26,7,true
20201227,2020-12-27,2020,4,12,December,52,27,1,true
20201228,2020-12-28,2020,4,12,December,53,28,2,false
20201229,2020-12-29,2020,4,12,December,53,29,3,false
20201230,2020-12-30,2020,4,12,December,53,30,4,false
20201231,2020-12-31,2020,4,12,December,53,31,5,false
20210101,2021-01-01,2021,1,1,January,53,1,6,false
20210102,2021-01-02,2021,1,1,January,53,2,7,true
20210103,2021-01-03,2021,1,1,January,53,3,1,true
20210104,2021-01-04,2021,1,1,January,1,4,2,false
20210105,2021-01-05,2021,1,1,January,1,5,3,false
20210106,2021-01-06,2021,1,1,January,1,6,4,false
20210107,2021-01-07,2021,1,1,January,1,7,5,false
20210108,2021-01-08,2021,1,1,January,1,8,6,false
20210109,2021-01-09,2021,1,1,January,1,9,7,true
20210110,2021-01-10,2021,1,1,January,1,10,1,true
20210111,2021-01-11,2021,1,1,January,2,11,2,false
20210112,2021-01-12,2021,1,1,January,2,12,3,false
20210113,2021-01-13,2021,1,1,January,2,13,4,false
20210114,2021-01-14,2021,1,1,January,2,14,5,false
20210115,2021-01-15,2021,1,1,January,2,15,6,false
20210116,2021-01-16,2021,1,1,January,2,16,7,true
20210117,2021-01-17,2021,1,1,January,2,17,1,true
20210118,2021-01-18,2021,1,1,January,3,18,2,false
20210119,2021-01-19,2021,1,1,January,3,19,3,false
20210120,2021-01-20,2021,1,1,January,3,20,4,false
20210121,2021-01-21,2021,1,1,January,3,21,5,false
20210122,2021-01-22,2021,1,1,January,3,22,6,false
20210123,2021-01-23,2021,1,1,January,3,23,7,true
20210124,2021-01-24,2021,1,1,January,3,24,1,true
20210125,2021-01-25,2021,1,1,January,4,25,2,false
20210126,2021-01-26,2021,1,1,January,4,26,3,false
20210127,2021-01-27,2021,1,1,January,4,27,4,false
20210128,2021-01-28,2021,1,1,January,4,28,5,false
20210129,2021-01-29,2021,1,1,January,4,29,6,false
20210130,2021-01-30,2021,1,1,January,4,30,7,true
20210131,2021-01-31,2021,1,1,January,4,31,1,true
20210201,2021-02-01,2021,1,2,February,5,1,2,false
20210202,2021-02-02,2021,1,2,February,5,2,3,false
20210203,2021-02-03,2021,1,2,February,5,3,4,false
20210204,2021-02-04,2021,1,2,February,5,4,5,false
20210205,2021-02-05,2021,1,2,February,5,5,6,false
20210206,2021-02-06,2021,1,2,February,5,6,7,true
20210207,2021-02-07,2021,1,2,February,5,7,1,true
20210208,2021-02-08,2021,1,2,February,6,8,2,false
20210209,2021-02-09,2021,1,2,February,6,9,3,false
20210210,2021-02-10,2021,1,2,February,6,10,4,false
20210211,2021-02-11,2021,1,2,February,6,11,5,false
20210212,2021-02-12,2021,1,2,February,6,12,6,false
20210213,2021-02-13,2021,1,2,February,6,13,7,true
20210214,2021-02-14,2021,1,2,February,6,14,1,true
20210215,2021-02-15,2021,1,2,February,7,15,2,false
20210216,2021-02-16,2021,1,2,February,7,16,3,false
20210217,2021-02-17,2021,1,2,February,7,17,4,false
20210218,2021-02-18,2021,1,2,February,7,18,5,false
20210219,2021-02-19,2021,1,2,February,7,19,6,false
20210220,2021-02-20,2021,1,2,February,7,20,7,true
20210221,2021-02-21,2021,1,2,February,7,21,1,true
20210222,2021-02-22,2021,1,2,February,8,22,2,false
20210223,2021-02-23,2021,1,2,February,8,23,3,false
20210224,2021-02-24,2021,1,2,February,8,24,4,false
20210225,2021-02-25,2021,1,2,February,8,25,5,false
20210226,2021-02-26,2021,1,2,February,8,26,6,false
20210227,2021-02-27,2021,1,2,February,8,27,7,true
20210228,2021-02-28,2021,1,2,February,8,28,1,true
20210301,2021-03-01,2021,1,3,March,9,1,2,false
20210302,2021-03-02,2021,1,3,March,9,2,3,false
20210303,2021-03-03,2021,1,3,March,9,3,4,false
20210304,2021-03-04,2021,1,3,March,9,4,5,false
20210305,2021-03-05,2021,1,3,March,9,5,6,false
20210306,2021-03-06,2021,1,3,March,9,6,7,true
20210307,2021-03-07,2021,1,3,March,9,7,1,true
20210308,2021-03-08,2021,1,3,March,10,8,2,false
20210309,2021-03-09,2021,1,3,March,10,9,3,false
20210310,2021-03-10,2021,1,3,March,10,10,4,false
20210311,2021-03-11,2021,1,3,March,10,11,5,false
20210312,2021-03-12,2021,1,3,March,10,12,6,false
20210313,2021-03-13,2021,1,3,March,10,13,7,true
20210314,2021-03-14,2021,1,3,March,10,14,1,true
20210315,2021-03-15,2021,1,3,March,11,15,2,false
20210316,2021-03-16,2021,1,3,March,11,16,3,false
20210317,2021-03-17,2021,1,3,March,11,17,4,false
20210318,2021-03-18,2021,1,3,March,11,18,5,false
20210319,2021-03-19,2021,1,3,March,11,19,6,false
20210320,2021-03-20,2021,1,3,March,11,20,7,true
20210321,2021-03-21,2021,1,3,March,11,21,1,true
20210322,2021-03-22,2021,1,3,March,12,22,2,false
20210323,2021-03-23,2021,1,3,March,12,23,3,false
20210324,2021-03-24,2021,1,3,March,12,24,4,false
20210325,2021-03-25,2021,1,3,March,12,25,5,false
20210326,2021-03-26,2021,1,3,March,12,26,6,false
20210327,2021-03-27,2021,1,3,March,12,27,7,true
20210328,2021-03-28,2021,1,3,March,12,28,1,true
20210329,2021-03-29,2021,1,3,March,13,29,2,false
20210330,2021-03-30,2021,1,3,March,13,30,3,false
20210331,2021-03-31,2021,1,3,March,13,31,4,false
20210401,2021-04-01,2021,2,4,April,13,1,5,false
20210402,2021-04-02,2021,2,4,April,13,2,6,false
20210403,2021-04-03,2021,2,4,April,13,3,7,true
20210404,2021-04-04,2021,2,4,April,13,4,1,true
20210405,2021-04-05,2021,2,4,April,14,5,2,false
20210406,2021-04-06,2021,2,4,April,14,6,3,false
20210407,2021-04-07,2021,2,4,April,14,7,4,false
20210408,2021-04-08,2021,2,4,April,14,8,5,false
20210409,2021-04-09,2021,2,4,April,14,9,6,false
20210410,2021-04-10,2021,2,4,April,14,10,7,true
20210411,2021-04-11,2021,2,4,April,14,11,1,true
20210412,2021-04-12,2021,2,4,April,15,12,2,false
20210413,2021-04-13,2021,2,4,April,15,13,3,false
20210414,2021-04-14,2021,2,4,April,15,14,4,false
20210415,2021-04-15,2021,2,4,April,15,15,5,false
20210416,2021-04-16,2021,2,4,April,15,16,6,false
20210417,2021-04-17,2021,2,4,April,15,17,7,true
20210418,2021-04-18,2021,2,4,April,15,18,1,true
20210419,2021-04-19,2021,2,4,April,16,19,2,false
20210420,2021-04-20,2021,2,4,April,16,20,3,false
20210421,2021-04-21,2021,2,4,April,16,21,4,false
20210422,2021-04-22,2021,2,4,April,16,22,5,false
20210423,2021-04-23,2021,2,4,April,16,23,6,false
20210424,2021-04-24,2021,2,4,April,16,24,7,true
20210425,2021-04-25,2021,2,4,April,16,25,1,true
20210426,2021-04-26,2021,2,4,April,17,26,2,false
20210427,2021-04-27,2021,2,4,April,17,27,3,false
20210428,2021-04-28,2021,2,4,April,17,28,4,false
20210429,2021-04-29,2021,2,4,April,17,29,5,false
20210430,2021-04-30,2021,2,4,April,17,30,6,false
20210501,2021-05-01,2021,2,5,May,17,1,7,true
20210502,2021-05-02,2021,2,5,May,17,2,1,true
20210503,2021-05-03,2021,2,5,May,18,3,2,false
20210504,2021-05-04,2021,2,5,May,18,4,3,false
20210505,2021-05-05,2021,2,5,May,18,5,4,false
20210506,2021-05-06,2021,2,5,May,18,6,5,false
20210507,2021-05-07,2021,2,5,May,18,7,6,false
20210508,2021-05-08,2021,2,5,May,18,8,7,true
20210509,2021-05-09,2021,2,5,May,18,9,1,true
20210510,2021-05-10,2021,2,5,May,19,10,2,false
