seller_id,seller_name,sell_product_category,reg_date,active_status,city,state,source_file,time_stamp,processed_timestamp
SELL00017,"Krishnamurthy, Bains and Tandon",beauty,2025-04-23,Inactive,Arrah,Goa,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00018,"Jhaveri, Bala and Sabharwal",beauty,2024-11-02,Active,Pune,Karnataka,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00019,Bobal-Handa,home,2025-07-01,Active,Jabalpur,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00020,Palla-Venkataraman,"beauty, home",2021-05-17,Active,Sangli-Miraj & Kupwad,Kerala,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00021,"Prabhu, Kanda and Kothari",Electronics,2025-02-06,Inactive,Bhind,Gujarat,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00022,Biswas LLC,Furniture,2024-05-18,Active,Rajpur Sonarpur,Rajasthan,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00023,"Gandhi, Bhagat and Bose","beauty, Electronics",2025-04-24,Inactive,Muzaffarpur,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00024,Pall Group,"clothing, home",2023-11-29,Inactive,Kota,Meghalaya,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00025,Sant-Andra,"Electronics, sports",2021-07-30,Active,Asansol,Meghalaya,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00026,Khalsa and Sons,"home, Furniture",2023-05-24,Inactive,Delhi,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00027,Bansal Group,beauty,2023-08-19,Active,Gudivada,Andhra Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00028,Kade PLC,"sports, Furniture",2023-01-14,Active,Baranagar,West Bengal,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00029,Pall-D’Alia,"Furniture, beauty",2024-02-25,Inactive,Bhagalpur,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00030,Sami-Naik,clothing,2023-02-08,Inactive,Alappuzha,Gujarat,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00031,Upadhyay-Nadkarni,"beauty, home",2022-10-08,Inactive,Bhimavaram,Madhya Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00032,Zacharia-Shanker,"clothing, sports",2021-06-19,Inactive,Pimpri-Chinchwad,Rajasthan,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00033,Sane-Narayanan,Electronics,2026-01-03,Active,Nagpur,Odisha,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00034,"Sethi, Sathe and Mukhopadhyay",beauty,2023-12-22,Active,Dibrugarh,Kerala,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00035,"Deshpande, Talwar and Wable",home,2023-02-12,Inactive,Bongaigaon,Himachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00036,Palla LLC,Furniture,2024-05-06,Inactive,Davanagere,Tripura,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00037,Bhattacharyya-Amble,"beauty, clothing",2024-10-20,Inactive,Anand,Tamil Nadu,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00038,Sani-Sridhar,"home, Furniture",2024-03-26,Inactive,Loni,Madhya Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00039,"Bumb, Mody and Dave",clothing,2024-12-10,Active,Ludhiana,Manipur,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00040,"Acharya, Chada and Sibal","Furniture, sports",2021-08-30,Active,Bettiah,Andhra Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00041,"Subramaniam, Bhatti and Parmar",home,2025-02-07,Inactive,Ghaziabad,Himachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00042,Sharaf-Dhar,"Furniture, Electronics",2021-10-26,Active,Lucknow,Madhya Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00043,Dhaliwal-Madan,beauty,2025-01-20,Inactive,Siliguri,Manipur,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00044,Sheth Group,"home, clothing",2022-05-08,Active,Kakinada,Uttar Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00045,More Inc,sports,2025-03-22,Active,Saharanpur,Tamil Nadu,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00046,Baral Ltd,"home, Furniture",2025-09-29,Active,Parbhani,Madhya Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00047,"Desai, Sibal and Mahal","Furniture, sports",2025-12-04,Inactive,Sikar,Chhattisgarh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00048,Bail-Bhargava,sports,2022-06-28,Active,North Dumdum,Jharkhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00049,"Kapur, Bala and Dhillon","beauty, Electronics",2025-07-19,Inactive,Katni,Madhya Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00050,"Puri, Seshadri and Kurian",Furniture,2022-04-20,Active,Gulbarga,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00051,Dubey LLC,beauty,2021-06-01,Active,Rajpur Sonarpur,Tamil Nadu,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00052,Chhabra Ltd,"Furniture, beauty",2024-04-17,Inactive,Orai,Mizoram,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00053,Grover LLC,clothing,2022-06-10,Active,Bhavnagar,Madhya Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00054,Prabhakar Group,"beauty, Furniture",2024-08-18,Inactive,Kochi,Rajasthan,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00055,Kothari-Dewan,beauty,2022-04-16,Inactive,Bettiah,Arunachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00056,"Tailor, Gole and Bains",Furniture,2021-07-27,Inactive,North Dumdum,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00057,Ram-Naidu,home,2023-11-10,Active,Hapur,Punjab,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00058,Hayre and Sons,Furniture,2025-12-04,Inactive,Varanasi,Telangana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00059,Kaur-Datta,"Electronics, sports",2025-01-13,Active,Chennai,Kerala,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00060,Nayak and Sons,"home, clothing",2024-11-21,Inactive,Jamnagar,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00061,Puri-Konda,sports,2024-10-29,Active,Kochi,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00062,"Saxena, Ratti and Sahota",sports,2026-01-16,Inactive,Munger,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00063,"Mallick, Sarraf and Sethi",clothing,2026-01-19,Active,Ahmedabad,Arunachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00064,Goel-Barad,beauty,2022-07-25,Inactive,Bidhannagar,Chhattisgarh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00065,Deep LLC,"clothing, home",2024-11-14,Inactive,Serampore,Goa,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00066,"Seth, Shankar and Kannan","Furniture, Electronics",2022-08-08,Active,Bahraich,Andhra Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00067,Tak-Mukherjee,clothing,2026-02-02,Inactive,Bongaigaon,Rajasthan,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00068,Srivastava Inc,"beauty, Furniture",2024-04-20,Active,Thiruvananthapuram,Telangana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00069,Prashad-Bhagat,Furniture,2024-04-14,Active,Alappuzha,Kerala,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00070,Wali-Lanka,beauty,2023-12-11,Inactive,Haldia,Andhra Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00072,"Dash, Nori and Bansal","home, Furniture",2023-12-12,Active,Shimla,Himachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00073,"Yadav, Dhillon and Dua",home,2024-02-18,Active,Chandigarh,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00074,Choudhary-Narula,"home, sports",2023-12-31,Active,Maheshtala,Tripura,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00075,"Sibal, Garde and Gulati","clothing, sports",2023-08-02,Inactive,Ghaziabad,Goa,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00076,Oza PLC,"clothing, home",2024-06-18,Active,Raurkela Industrial Township,Haryana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00077,Sarma Inc,"sports, clothing",2022-06-07,inactive,Munger,Tamil Nadu,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00078,"Shere, Bawa and Oak","Furniture, beauty",2022-12-21,,Haridwar,Manipur,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00079,"Prabhakar, Karan and Narang",Furniture,2022-02-01,Active,Surendranagar Dudhrej,Telangana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00080,"Ganesh, Salvi and Chhabra",Furniture,2025-11-11,Inactive,Bahraich,Manipur,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00081,Andra-Hora,"Furniture, Electronics",2024-04-04,Inactive,Dibrugarh,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00082,Das Inc,Electronics,2025-05-31,Inactive,Chandrapur,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00083,"Mitra, Sankar and Oza",beauty,2022-10-07,Inactive,Malegaon,West Bengal,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00084,"Aurora, Menon and Dugar",Electronics,2023-12-05,Inactive,Ongole,Andhra Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00085,Chandra Inc,"Electronics, beauty",2022-03-27,Active,Bareilly,Arunachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00086,Tripathi-Luthra,"beauty, clothing",2026-01-29,Active,Bijapur,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00087,Bawa PLC,"home, Furniture",2025-08-01,Active,Rajpur Sonarpur,Haryana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00088,"Loyal, Mann and Sem",beauty,2022-08-24,Active,Hyderabad,Punjab,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00089,"Natt, Master and Guha",sports,2023-12-08,Active,Bhind,Arunachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00090,"Keer, Ahluwalia and Shah",home,2023-08-05,Inactive,Parbhani,Gujarat,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00091,"Varty, Kapoor and Misra","home, clothing",2025-09-08,Active,Gwalior,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00092,"Gupta, Arora and Mangat",home,2026-02-01,Active,Jalna,Andhra Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00093,"D’Alia, Deshmukh and Muni","clothing, home",2023-05-04,Inactive,Bhatpara,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00094,Luthra-Master,"Electronics, Furniture",2025-06-26,Inactive,Erode,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00095,Rau PLC,Furniture,2022-10-10,Inactive,Jabalpur,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00096,"Khare, Lala and Sekhon",Furniture,2024-06-22,Inactive,Karnal,Nagaland,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00097,"Shukla, Murthy and Ramaswamy","home, Furniture",2021-05-28,Inactive,Darbhanga,Mizoram,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00098,Ravel Ltd,"clothing, home",2023-04-15,Active,Rourkela,Andhra Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00099,"Kumar, Memon and Talwar","Electronics, clothing",2021-12-22,Inactive,Kolkata,Haryana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00100,"Arya, More and Dar",Electronics,2022-01-05,Active,Amravati,Chhattisgarh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00101,Baria and Sons,home,2024-10-06,Inactive,Proddatur,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00102,Sarkar-Barad,"Furniture, beauty",2023-09-26,,Hindupur,Rajasthan,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00103,"Bora, Bora and Dalal","clothing, beauty",2026-01-12,Inactive,Kharagpur,West Bengal,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00104,Date Group,"clothing, home",2022-07-19,Inactive,Chapra,Himachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00105,"Mody, Boase and Joshi","clothing, Electronics",2023-08-01,Inactive,Tumkur,Goa,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00106,Pandey PLC,Electronics,2025-07-29,Inactive,Vasai-Virar,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00107,"Anne, Gill and Chhabra",sports,2023-07-12,Inactive,Panipat,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00108,Nath and Sons,home,2021-07-18,Inactive,Etawah,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00109,"Keer, Solanki and Loyal","Furniture, Electronics",2025-12-31,Inactive,Nashik,Meghalaya,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00110,Thakur LLC,Electronics,2023-01-21,Inactive,Panchkula,Himachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00111,Muni Inc,beauty,2022-06-02,Inactive,Surendranagar Dudhrej,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00112,"Bhavsar, Doctor and Subramaniam",sports,2023-08-10,Active,Srikakulam,Jharkhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00113,Wadhwa PLC,"beauty, clothing",2024-05-20,Inactive,Kollam,Nagaland,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00114,Kalita LLC,clothing,2024-12-03,Active,Alwar,Karnataka,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00115,"Nagarajan, Rege and Balakrishnan","Electronics, home",2025-02-21,Active,Nangloi Jat,Kerala,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00116,Mann Ltd,Furniture,2022-01-05,Active,Bhiwandi,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00117,Varkey PLC,"Furniture, beauty",2024-09-06,Active,Mumbai,West Bengal,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00118,Mahajan and Sons,Furniture,2026-01-20,Active,Karaikudi,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00119,Bhatti-Narayan,"sports, home",2021-12-09,Inactive,Bhind,Goa,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00120,Dua Inc,"sports, clothing",2024-05-24,Active,Mathura,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00121,Warrior Group,beauty,2023-06-05,Inactive,Gandhinagar,Punjab,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00122,Palan-Krishna,home,2023-09-29,Inactive,Hubli–Dharwad,Himachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00123,"Chakrabarti, Rout and Gokhale",Furniture,2024-06-06,Inactive,Junagadh,Telangana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00124,Chanda and Sons,sports,2024-08-18,Active,Chittoor,Nagaland,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00125,Boase Group,"Electronics, clothing",2021-07-01,Active,Jalgaon,Rajasthan,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00126,"Sarna, Seth and Barad",clothing,2021-09-12,Inactive,Thanjavur,Rajasthan,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00127,Taneja-Aggarwal,Furniture,2021-05-05,Inactive,Sikar,Haryana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00128,Jha-Madan,"Electronics, clothing",2021-07-05,Active,Dibrugarh,Chhattisgarh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00129,Bains Group,Electronics,2025-07-15,Active,Katihar,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00130,"Garde, Ganesan and Choudhury","home, Furniture",2024-07-03,Active,Rajpur Sonarpur,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00131,Modi Inc,sports,2025-12-28,Inactive,Amritsar,Haryana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00132,Choudhury LLC,Electronics,2024-11-19,Active,Munger,West Bengal,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00133,"Cheema, Handa and Sathe","home, sports",2024-05-22,Active,Tadepalligudem,Punjab,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00134,Patel LLC,beauty,2025-06-13,Inactive,Thiruvananthapuram,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00135,"Oommen, Chowdhury and Lad","home, beauty",2021-06-21,Inactive,Kulti,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00136,Srinivasan-Das,"Electronics, sports",2022-02-15,Active,Bellary,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00137,Jhaveri PLC,"Electronics, home",2022-08-12,Active,Sonipat,Tamil Nadu,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00138,Krishnamurthy PLC,"home, sports",2021-08-15,Inactive,Hindupur,Arunachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00139,Datta-Narayanan,"sports, clothing",2023-06-03,Active,Bhopal,Arunachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00140,Sant-Jha,home,2022-03-05,Active,Mirzapur,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00141,Contractor PLC,home,2025-09-12,Inactive,Tiruchirappalli,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00142,Mani and Sons,"beauty, home",2024-03-24,Inactive,South Dumdum,Goa,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00143,Kapadia and Sons,"beauty, Furniture",2024-08-22,Active,Pudukkottai,Haryana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00144,Bhattacharyya-Sarkar,Furniture,2024-03-10,Inactive,Berhampore,Goa,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00145,"Badal, Garde and Shroff","Electronics, beauty",2025-12-06,Inactive,Uluberia,Sikkim,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00146,"Kohli, Cheema and Mody",sports,2023-05-03,Inactive,Ramgarh,Tripura,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00147,"Sathe, Sani and Ganesh","sports, Furniture",2021-12-18,Inactive,Bhilwara,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00148,Dara and Sons,home,2024-03-15,Inactive,Bhiwandi,Punjab,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00149,Bava Ltd,"Electronics, sports",2025-03-23,Active,Gopalpur,Telangana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00151,Sengupta-Natt,"home, sports",2025-09-17,Inactive,Bhind,Assam,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
